algorithm,collection,dataset,algo_training_type,algo_input_dimensionality,dataset_training_type,dataset_input_dimensionality,status,hyper_params_id,repetition,hyper_params,train_main_time,train_preprocess_time,train_postprocess_time,execute_main_time,execute_preprocess_time,execute_postprocess_time,ROC_AUC,RANGE_PR_AUC,BestF1Score,FalseNegativeRate,PR_AUC,result_path,BestF1MinusFNR
Hybrid KNN,OBSEA,2020-09-14,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,d852178245930741e52e3256766fcbbc,1,"{'anomaly_window_size': 66, 'batch_size': 64, 'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'learning_rate': 0.001, 'n_estimators': 500, 'n_neighbors': 10, 'random_state': 42, 'split': 0.8, 'test_batch_size': 64}",7680.56770324707,,,46.08254647254944,,0.0119402408599853,0.6063663224265043,0.0062905070529927,0.0376171857624092,0.0,0.0096495285781163,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_06_01_23_17_29/results.csv,
COPOD,OBSEA,2021-07-27_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},,,,10.15839910507202,,,0.3031880556446894,0.0353134288607407,,,0.0096219743350822,../../../../TimeEval_work_results/for_Oracle_240724/2024_07_19_20_06_23/results.csv,
COPOD,OBSEA,2023-03-24_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},,,,13.003242254257202,,,0.471132094480112,0.0412281812679489,0.0270477546656112,0.0439560439560439,0.0096119304110445,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_19_33_21/results.csv,
AutoEncoder (AE),OBSEA,2022-03-14,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dfdc9a9fdc00b09d9d188aaabfa8f91c,2,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",34.976781368255615,,,17.570323705673218,,,0.4553567410710268,0.1818135716038956,0.0368169797287321,0.0109890109890109,0.0095877336935408,../../../../TimeEval_work_results/best4avgens_2122/2024_04_23_02_41_43/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2022-05-04,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,c8d37c7a26a5f51260539d3c90e37648,3,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",15.52234697341919,,,8.167940139770508,,,0.1714260710483052,0.21729692385029,0.0286606038209991,0.0,0.0095479903376169,../../../../TimeEval_work_results/best4avgens_2122/2024_04_22_23_49_12/results.csv,
LOF,OBSEA,2022-08-29_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,da57e09e2b4ad4d568a26dd67f170158,1,"{'distance_metric_order': 2, 'leaf_size': 20, 'n_jobs': 1, 'n_neighbors': 50, 'random_state': 42}",,,,14.7161967754364,,,0.5304039876083506,0.0055518935779306,,,0.0095142624671007,../../../../TimeEval_work_results/for_Oracle5/2024_07_07_17_36_52/results.csv,
DeepAnT,OBSEA,2023-04-26,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,f1d3356f9300f17a84a6becaa8cf8758,1,"{'batch_size': 64, 'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'learning_rate': 0.001, 'prediction_window_size': 50, 'random_state': 42, 'split': 0.8, 'window_size': 50}",9571.902349233627,,,382.5332405567169,,0.0131089687347412,0.4695673986910219,0.012739191283293,0.0282789029182765,0.0,0.0095099326167797,../../../../TimeEval_work_results/for_Oracle23_2/2024_07_16_15_48_48/results.csv,
PCC,OBSEA,2022-03-14_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,3,"{'random_state': 42, 'svd_solver': 'auto'}",,,,8.82577896118164,,,0.4518158803873089,0.1679822206438523,0.035925426906832,0.0,0.0094608520797153,../../../../TimeEval_work_results/MSAD_trained20_inferredtrained21_infer22/2024_04_20_10_23_49/results.csv,
AutoEncoder (AE),OBSEA,2020-03-10,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,b98f98446ffdbf7f8a0cb80942138c22,4,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",17.063802242279053,,,8.15803337097168,,,0.4502962238369888,0.1611960361061008,0.0339683357751895,0.0109890109890109,0.009396071576772,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_11_17_05_52/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2020-03-10,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,bafd0b5bab66633b17924ba1c20b0398,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",21.42707324028015,,,8.527848482131958,,,0.4477305359279859,0.1513565101316392,,,0.0093536504767292,../../../../TimeEval_work_results/for_Oracle_240724/2024_07_19_19_48_36/results.csv,
COPOD,OBSEA,2020-01-06_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4293618dd12c59117ac7a434fda4220a,3,{'random_state': 42},,,,10.374835729599,,,0.4566853780212067,0.0274469768365022,0.0329321388825135,0.0219780219780219,0.0093112927578645,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_17_52/results.csv,
RobustPCA,OBSEA,2021-12-08,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},104.88509726524352,,,7.360334634780884,,,0.3032432763210232,0.0903534717069685,0.0343156670223685,0.0434782608695652,0.0093054356557308,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_41_11/results.csv,
LOF,OBSEA,2023-10-04_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,da57e09e2b4ad4d568a26dd67f170158,1,"{'distance_metric_order': 2, 'leaf_size': 20, 'n_jobs': 1, 'n_neighbors': 50, 'random_state': 42}",,,,14.236003637313845,,,0.565543029069226,0.0078170810252799,0.0215450483581204,0.2162162162162162,0.0093011147183153,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_22_38_41/results.csv,
PCC,OBSEA,2021-08-28_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,1,"{'random_state': 42, 'svd_solver': 'auto'}",,,,7.370723724365234,,,0.4521429499675113,0.1258411412741847,0.0326022541450495,0.0333333333333333,0.009268712648834,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_06_44_54/results.csv,
RobustPCA,OBSEA,2020-05-23,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4293618dd12c59117ac7a434fda4220a,5,{'random_state': 42},124.68505549430849,,,8.13558840751648,,,0.4892703053931123,0.0384246850594007,0.0273427287574317,0.1555555555555555,0.0092339269080032,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_10_22_45_04/results.csv,0.0230828417542959
AutoEncoder (AE),OBSEA,2023-05-29,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,b98f98446ffdbf7f8a0cb80942138c22,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",36.99006915092468,,,15.393258810043337,,,0.7237452118627336,0.024339624752761,0.0305394582355192,0.0444444444444444,0.0091893043339681,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_23_48_24/results.csv,
COPOD,OBSEA,2022-01-30_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},,,,8.916215658187866,,,0.4422688085104742,0.0370819324445193,,,0.0091665734198289,../../../../TimeEval_work_results/for_Oracle_240724/2024_07_19_22_54_39/results.csv,
Hybrid KNN,OBSEA,2022-01-30,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,d852178245930741e52e3256766fcbbc,1,"{'anomaly_window_size': 91, 'batch_size': 64, 'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'learning_rate': 0.001, 'n_estimators': 500, 'n_neighbors': 10, 'random_state': 42, 'split': 0.8, 'test_batch_size': 64}",1979.846741437912,,,42.12046051025391,,0.0213253498077392,0.4253578916112545,0.0080748526973586,0.0354082124979282,0.0,0.0090969578399523,../../../../TimeEval_work_results/for_Oracle/2024_05_30_16_09_37/results.csv,
CBLOF,OBSEA,2023-06-24_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4af4d919471b6491e8bdcca811a5e413,1,"{'n_clusters': 50, 'n_jobs': 1, 'random_state': 42}",,,,24.921072483062744,,,0.6941385435168739,0.0172728025000709,0.0245789949655426,0.5777777777777777,0.0090880611567189,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_21_05_32/results.csv,
PCC,OBSEA,2023-08-11_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,1,"{'random_state': 42, 'svd_solver': 'auto'}",,,,21.880591869354248,,,0.5324511087310088,0.032411806861374,0.0222118541199655,0.0266666666666666,0.009005108270777,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_21_47_34/results.csv,
Hybrid KNN,OBSEA,2021-09-06,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,d852178245930741e52e3256766fcbbc,1,"{'anomaly_window_size': 38, 'batch_size': 64, 'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'learning_rate': 0.001, 'n_estimators': 500, 'n_neighbors': 10, 'random_state': 42, 'split': 0.8, 'test_batch_size': 64}",1742.0900495052338,,,40.224135875701904,,0.0087990760803222,0.1116749963922031,0.070050977266188,0.0325237295249236,0.0,0.0090026801311036,../../../../TimeEval_work_results/for_Oracle/2024_05_31_06_11_38/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2022-07-15,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,c8d37c7a26a5f51260539d3c90e37648,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",16.35079050064087,,,8.169692277908325,,,0.6739877483938443,0.0215319054344863,0.0267149644374477,0.0434782608695652,0.0089695559834297,../../../../TimeEval_work_results/best4avgens_2122/2024_04_23_01_23_17/results.csv,
COPOD,OBSEA,2022-07-03_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},,,,6.798136949539185,,,0.8057589803012747,0.0032285511563705,,,0.0089649056531289,../../../../TimeEval_work_results/for_Oracle_240724/2024_07_20_00_53_51/results.csv,
AutoEncoder (AE),OBSEA,2021-07-26,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,b98f98446ffdbf7f8a0cb80942138c22,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",21.193092107772827,,,8.416283130645752,,,0.3547721341356622,0.0385216634330433,0.0259297989728737,0.1559633027522936,0.0089622379716657,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_40_42/results.csv,
AutoEncoder (AE),OBSEA,2023-06-22,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,b98f98446ffdbf7f8a0cb80942138c22,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",25.0363872051239,,,12.411827087402344,,,0.7130715084533913,0.1002668917653063,0.0340132710940358,0.0,0.0089563177382794,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_11_00_47_46/results.csv,
RobustPCA,OBSEA,2022-02-21,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},102.2957534790039,,,7.368519306182861,,,0.4649928525016244,0.0618809974146994,0.0251338919645067,0.0111111111111111,0.0088418912908219,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_41_11/results.csv,
RobustPCA,OBSEA,2021-09-06,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},70.95527505874634,,,7.404961585998535,,,0.0795759719072887,0.1125047343544268,0.0325406423452064,0.0070422535211267,0.0088285458663311,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_41_11/results.csv,
PCC,OBSEA,2022-10-14_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,1,"{'random_state': 42, 'svd_solver': 'auto'}",,,,8.275337219238281,,,0.5878508176588456,0.0176593700765958,0.0618506965419275,0.9333333333333332,0.0087438432503396,../../../../TimeEval_work_results/MSAD_trained20_inferredtrained21_infer22/2024_04_20_11_09_25/results.csv,
HBOS,OBSEA,2022-02-22_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,3,"{'n_bins': 20, 'random_state': 42}",,,,10.773116111755373,,,0.0819876510883428,0.0122898881995304,0.027216719722621,0.0,0.0087425666810505,../../../../TimeEval_work_results/MSAD_trained20_inferredtrained1H21_inferredtrained2H21_infer1H22/2024_04_21_15_13_47/results.csv,
PCC,OBSEA,2021-03-20_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,1,"{'random_state': 42, 'svd_solver': 'auto'}",,,,7.149747133255005,,,0.1473256896176161,0.1539248025019028,0.0321712652317871,0.0,0.0087302880428705,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_21_31_43/results.csv,
AutoEncoder (AE),OBSEA,2022-07-15,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,b98f98446ffdbf7f8a0cb80942138c22,3,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",19.43167304992676,,,8.457277774810791,,,0.6630061258030779,0.0205757678984705,0.0255662673749389,0.0434782608695652,0.0086542812443888,../../../../TimeEval_work_results/best4avgens_2122/2024_04_23_01_23_06/results.csv,
